Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,PDB EXPDTA PH,Standard Value
CHEMBL3941496,-10.669,-0.356,-1.105,-2.424,-10.764,-4.385,-0.289,-2.447,-45.616,-11.7,0.434,-0.042,-97.825,-57.315,,580.0
CHEMBL3941904,-10.683,-0.314,-1.018,-2.36,-11.094,-4.439,-0.446,-1.848,-56.634,-14.073,0.68,-0.1,-119.283,-70.707,,1000.0
CHEMBL3942073,-7.284,-0.192,-0.644,-1.571,-7.284,-2.979,-0.104,-1.275,-52.944,-3.397,0.354,-0.123,-77.672,-56.342,,100.0
CHEMBL3942146,-9.12,-0.294,-0.924,-2.057,-9.216,-4.543,-0.193,-1.312,-39.944,-10.352,0.413,-0.032,-81.476,-50.296,,50.0
CHEMBL3942281,-9.933,-0.32,-1.007,-2.24,-10.174,-2.974,-0.278,-2.817,-52.337,-13.753,0.575,0.0,-104.925,-66.089,,15.5
CHEMBL3942315,-9.558,-0.266,-0.877,-2.085,-9.873,-4.282,-0.278,-1.563,-60.952,-8.495,0.572,0.0,-109.417,-69.447,,1000.0
CHEMBL3942383,-10.162,-0.318,-1.008,-2.276,-10.439,-3.452,-0.218,-3.402,-59.096,-6.96,0.633,0.0,-103.433,-66.056,,4.9
CHEMBL3942404,-9.44,-0.278,-0.899,-2.085,-9.44,-3.693,-0.32,-1.982,-57.571,-6.383,0.544,-0.153,-99.208,-63.953,,1000.0
CHEMBL3942465,-6.798,-0.194,-0.635,-1.492,-6.798,-2.469,-0.32,-0.464,-45.642,-9.408,0.255,-0.107,-72.951,-55.049,,1000.0
CHEMBL3942826,-10.254,-0.263,-0.892,-2.199,-10.254,-4.408,-0.19,-1.51,-63.803,-8.837,0.379,-0.01,-115.299,-72.64,,1000.0
CHEMBL3942983,-9.569,-0.383,-1.119,-2.268,-9.57,-3.672,-0.16,-1.655,-46.437,-15.059,0.675,-0.178,-103.744,-61.496,,107.0
CHEMBL3943097,-10.556,-0.377,-1.145,-2.437,-10.556,-4.156,-0.362,-1.844,-46.727,-16.48,0.625,-0.011,-109.501,-63.206,,10.0
CHEMBL3943129,-10.145,-0.26,-0.882,-2.175,-10.182,-4.281,-0.32,-1.573,-63.286,-9.114,0.523,0.0,-113.053,-72.4,,1000.0
CHEMBL3943142,-10.43,-0.336,-1.057,-2.352,-10.529,-3.288,-0.35,-3.334,-58.932,-8.802,0.714,-0.005,-107.822,-67.734,,14.9
CHEMBL3943272,-7.043,-0.261,-0.783,-1.639,-7.043,-3.604,0.0,-1.579,-45.379,-1.171,0.597,-0.011,-66.847,-46.55,,5941.0
CHEMBL3943289,-10.537,-0.31,-1.004,-2.328,-10.713,-3.986,-0.16,-2.738,-62.497,-8.726,0.605,0.0,-111.62,-71.223,,6.2
CHEMBL3943605,-10.969,-0.313,-1.025,-2.408,-10.97,-4.6,-0.408,-1.773,-61.34,-10.644,0.499,-0.024,-115.737,-71.984,,1000.0
CHEMBL3943689,-9.725,-0.27,-0.892,-2.122,-9.732,-4.084,-0.258,-1.884,-55.858,-8.171,0.513,0.0,-100.139,-64.029,,100.0
CHEMBL3943924,-7.623,-0.272,-0.827,-1.76,-7.623,-3.318,-0.16,-1.409,-45.937,-8.008,0.786,-0.024,-74.04,-53.944,,8087.0
CHEMBL3944066,-9.899,-0.319,-1.003,-2.233,-9.9,-4.328,-0.32,-1.804,-55.334,-7.42,0.431,0.0,-97.818,-62.754,,1000.0
CHEMBL3944185,-10.207,-0.3,-0.973,-2.255,-10.22,-4.42,-0.295,-1.789,-60.285,-8.91,0.636,0.0,-111.282,-69.196,,100.0
CHEMBL3944326,-8.732,-0.349,-1.021,-2.07,-8.732,-3.551,-0.43,-2.146,-47.519,-9.39,1.179,0.0,-86.844,-56.91,,437.0
CHEMBL3944351,-10.279,-0.321,-1.02,-2.302,-10.393,-3.386,-0.163,-3.405,-57.378,-8.706,0.735,0.0,-103.836,-66.084,,6.7
CHEMBL3944644,-10.445,-0.337,-1.058,-2.356,-10.445,-4.715,-0.269,-1.781,-59.542,-7.603,0.438,0.0,-107.278,-67.145,,1000.0
CHEMBL3944795,-9.63,-0.357,-1.07,-2.242,-9.63,-3.911,-0.2,-2.196,-45.757,-9.457,0.484,-0.1,-91.765,-55.214,,167.0
CHEMBL3944798,-9.194,-0.328,-0.997,-2.122,-9.376,-3.762,-0.445,-2.186,-50.147,-7.222,0.607,0.0,-87.636,-57.37,,18.0
CHEMBL3944928,-10.209,-0.3,-0.973,-2.255,-10.313,-3.445,-0.265,-3.27,-61.014,-6.396,0.678,0.0,-103.717,-67.409,,3.4
CHEMBL3945308,-7.011,-0.206,-0.668,-1.549,-7.012,-4.299,0.0,-0.368,-54.652,-1.418,0.612,-0.012,-81.495,-56.069,,875.0
CHEMBL3945366,-9.748,-0.287,-0.929,-2.154,-9.748,-3.872,-0.137,-2.327,-62.671,-5.172,0.559,-0.061,-100.349,-67.842,,17.0
CHEMBL3945694,-9.922,-0.261,-0.878,-2.139,-10.036,-3.722,-0.32,-2.069,-53.824,-11.284,0.463,-0.003,-99.122,-65.107,,100.0
CHEMBL3945695,-7.413,-0.19,-0.645,-1.589,-7.413,-2.041,-0.459,-2.108,-48.357,-5.987,0.611,-0.1,-75.83,-54.344,,1000.0
CHEMBL3945726,-11.326,-0.365,-1.148,-2.554,-11.375,-4.49,-0.32,-2.377,-52.48,-13.612,0.512,-0.035,-106.995,-66.092,,2.0
CHEMBL3945782,-10.557,-0.33,-1.047,-2.364,-10.557,-3.232,-0.678,-2.239,-58.41,-13.396,0.532,-0.011,-111.842,-71.806,,1000.0
CHEMBL3945800,-7.919,-0.214,-0.713,-1.717,-8.226,-2.877,-0.597,-1.628,-49.767,-6.806,0.487,-0.102,-85.628,-56.573,,1.8
CHEMBL3945811,-10.356,-0.259,-0.885,-2.209,-10.356,-4.308,-0.32,-1.551,-61.084,-10.052,0.393,-0.008,-112.723,-71.136,,1000.0
CHEMBL3945877,-9.779,-0.315,-0.991,-2.206,-9.78,-4.199,-0.213,-2.351,-58.858,-4.411,0.587,0.0,-99.053,-63.268,,100.0
CHEMBL3945929,-9.372,-0.36,-1.068,-2.201,-9.372,-3.685,-0.608,-2.041,-48.845,-11.246,1.091,0.0,-95.355,-60.091,,506.0
CHEMBL3946035,-8.773,-0.337,-1.0,-2.06,-8.773,-3.624,-0.456,-1.998,-42.401,-10.336,0.975,0.0,-80.346,-52.736,,1619.0
CHEMBL3946114,-9.841,-0.317,-0.997,-2.219,-9.841,-3.604,-0.084,-2.54,-59.122,-8.508,0.717,-0.098,-99.856,-67.63,,4.1
CHEMBL3946151,-9.004,-0.25,-0.826,-1.965,-9.123,-3.108,-0.213,-2.486,-52.876,-7.618,0.523,-0.051,-90.108,-60.494,,15.7
CHEMBL3946225,-10.785,-0.257,-0.893,-2.276,-10.785,-4.52,-0.308,-1.619,-66.03,-8.669,0.303,-0.039,-112.62,-74.699,,1000.0
CHEMBL3946284,-9.21,-0.225,-0.775,-1.954,-9.21,-3.642,-0.32,-1.526,-60.706,-6.716,0.404,-0.084,-94.282,-67.422,,100.0
CHEMBL3946350,-10.973,-0.274,-0.938,-2.34,-10.973,-4.964,-0.244,-1.53,-64.725,-9.759,0.466,-0.0,-115.79,-74.484,,1000.0
CHEMBL3946413,-6.455,-0.269,-0.776,-1.545,-6.455,-3.237,0.0,-1.237,-45.228,-4.281,0.949,-0.027,-65.156,-49.509,,1710.0
CHEMBL3946452,-9.267,-0.281,-0.901,-2.061,-9.268,-3.867,-0.234,-2.206,-57.702,-4.707,0.63,0.0,-92.898,-62.409,,100.0
CHEMBL3946548,-9.19,-0.317,-0.974,-2.104,-9.195,-4.042,-0.256,-2.008,-53.525,-5.223,0.571,0.0,-87.744,-58.748,,33.0
