Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL3945726,-11.326,-0.365,-1.148,-2.554,-11.375,-4.49,-0.32,-2.377,-52.48,-13.612,0.512,-0.035,-106.995,-66.092
CHEMBL3969713,-11.322,-0.298,-1.002,-2.441,-11.325,-4.644,-0.32,-1.921,-65.934,-10.265,0.396,0,-126.616,-76.199
CHEMBL4113532,-11.321,-0.29,-0.984,-2.428,-11.321,-3.527,-0.789,-2.915,-58.522,-12.008,0.715,-0.077,-102.68,-70.53
CHEMBL4115236,-11.312,-0.323,-1.057,-2.483,-11.475,-3.342,-0.442,-2.957,-59.609,-16.568,0.77,-0.038,-134.695,-76.177
CHEMBL4110996,-11.3,-0.342,-1.098,-2.513,-11.306,-4.341,-0.32,-2.034,-47.061,-17.429,0.369,-0.013,-114.623,-64.489
CHEMBL255098,-11.297,-0.513,-1.439,-2.761,-11.311,-2.948,-0.808,-3.577,-37.949,-17.118,0.629,-0.142,-105.549,-55.068
CHEMBL255098,-11.297,-0.513,-1.439,-2.761,-11.311,-2.948,-0.808,-3.577,-37.949,-17.118,0.629,-0.142,-105.549,-55.068
CHEMBL4113582,-11.289,-0.289,-0.982,-2.421,-11.356,-4,-0.784,-2.372,-54.458,-14.167,0.673,-0.025,-98.54,-68.626
CHEMBL4114135,-11.284,-0.305,-1.016,-2.447,-11.439,-3.855,-0.546,-2.201,-62.297,-16.412,0.786,-0.046,-129.073,-78.709
CHEMBL4107384,-11.283,-0.332,-1.075,-2.493,-11.438,-3.417,-0.67,-3.111,-58.045,-14.412,0.825,0,-115.359,-72.457
CHEMBL4108780,-11.272,-0.342,-1.096,-2.507,-11.272,-3.838,-0.568,-2.592,-51.348,-13.576,0.378,-0.048,-108.391,-64.924
CHEMBL4109113,-11.27,-0.322,-1.053,-2.474,-11.27,-4.06,-0.62,-2.568,-64.597,-10.094,0.732,-0.011,-118.215,-74.691
CHEMBL256735,-11.269,-0.376,-1.167,-2.56,-11.325,-3.35,-0.396,-3.175,-47.294,-16.876,0.592,-0.1,-113.721,-64.17
CHEMBL4110867,-11.266,-0.304,-1.015,-2.443,-11.266,-3.876,-0.336,-2.959,-62.719,-10.398,0.65,-0.049,-107.259,-73.117
CHEMBL4791626,-11.257,-0.363,-1.141,-2.539,-11.28,-4.772,-0.304,-2.311,-49.743,-13.177,0.628,-0.057,-104.892,-62.92
